Date,Close
1/3/2022 16:00:00,138.65
1/4/2022 16:00:00,129.73
1/5/2022 16:00:00,121.01
1/6/2022 16:00:00,119.75
1/7/2022 16:00:00,120.38
1/10/2022 16:00:00,126
1/11/2022 16:00:00,129.71
1/12/2022 16:00:00,129.15
1/13/2022 16:00:00,116.58
1/14/2022 16:00:00,117.92
1/18/2022 16:00:00,112.64
1/19/2022 16:00:00,113.07
1/20/2022 16:00:00,113.56
1/21/2022 16:00:00,106.79
1/24/2022 16:00:00,110.92
1/25/2022 16:00:00,104.07
1/26/2022 16:00:00,99.5
1/27/2022 16:00:00,94.7
1/28/2022 16:00:00,94.92
1/31/2022 16:00:00,105.15
2/1/2022 16:00:00,107.8
2/2/2022 16:00:00,102.01
2/3/2022 16:00:00,92.54
2/4/2022 16:00:00,108.66
2/7/2022 16:00:00,105.71
2/8/2022 16:00:00,107.6
2/9/2022 16:00:00,115.51
2/10/2022 16:00:00,112.75
2/11/2022 16:00:00,111.35
2/14/2022 16:00:00,107.59
2/15/2022 16:00:00,113.58
2/16/2022 16:00:00,110.28
2/17/2022 16:00:00,102.27
2/18/2022 16:00:00,99.09
2/22/2022 16:00:00,96.15
2/23/2022 16:00:00,94.17
2/24/2022 16:00:00,103.18
2/25/2022 16:00:00,104.04
2/28/2022 16:00:00,106.45
3/1/2022 16:00:00,103.98
3/2/2022 16:00:00,101.37
3/3/2022 16:00:00,94.92
3/4/2022 16:00:00,89.01
3/7/2022 16:00:00,81.8
3/8/2022 16:00:00,81.08
3/9/2022 16:00:00,87.87
3/10/2022 16:00:00,83.12
3/11/2022 16:00:00,78.86
3/14/2022 16:00:00,74.35
3/15/2022 16:00:00,77.28
3/16/2022 16:00:00,87.73
3/17/2022 16:00:00,92.75
3/18/2022 16:00:00,97.15
3/21/2022 16:00:00,94.14
3/22/2022 16:00:00,97.4
3/23/2022 16:00:00,98.23
3/24/2022 16:00:00,99.77
3/25/2022 16:00:00,93.98
3/28/2022 16:00:00,98.11
3/29/2022 16:00:00,103.92
3/30/2022 16:00:00,101.21
3/31/2022 16:00:00,99.21
4/1/2022 16:00:00,98.92
4/4/2022 16:00:00,108.64
4/5/2022 16:00:00,100.98
4/6/2022 16:00:00,93.89
4/7/2022 16:00:00,93.86
4/8/2022 16:00:00,90.69
4/11/2022 16:00:00,90.53
4/12/2022 16:00:00,90.08
4/13/2022 16:00:00,94.03
4/14/2022 16:00:00,89.13
4/18/2022 16:00:00,87.2
4/19/2022 16:00:00,91.64
4/20/2022 16:00:00,83.77
4/21/2022 16:00:00,78.7
4/22/2022 16:00:00,75.7
4/25/2022 16:00:00,79.42
4/26/2022 16:00:00,74.26
4/27/2022 16:00:00,68.65
4/28/2022 16:00:00,69.93
4/29/2022 16:00:00,66.41
5/2/2022 16:00:00,68.65
5/3/2022 16:00:00,67.87
5/4/2022 16:00:00,69.41
5/5/2022 16:00:00,62.02
5/6/2022 16:00:00,57.34
5/9/2022 16:00:00,50.38
5/10/2022 16:00:00,48.13
5/11/2022 16:00:00,30.3
5/12/2022 16:00:00,35.09
5/13/2022 16:00:00,39.1
5/16/2022 16:00:00,36.14
5/17/2022 16:00:00,38.37
5/18/2022 16:00:00,37.45
5/19/2022 16:00:00,41.65
5/20/2022 16:00:00,41.32
5/23/2022 16:00:00,41.03
5/24/2022 16:00:00,35.22
5/25/2022 16:00:00,37.39
5/26/2022 16:00:00,38.32
5/27/2022 16:00:00,41.32
5/31/2022 16:00:00,39.97
6/1/2022 16:00:00,38.47
6/2/2022 16:00:00,44.15
6/3/2022 16:00:00,41.76
6/6/2022 16:00:00,42.82
6/7/2022 16:00:00,44.32
6/8/2022 16:00:00,45.8
6/9/2022 16:00:00,41.3
6/10/2022 16:00:00,36.9
6/13/2022 16:00:00,34.35
6/14/2022 16:00:00,33.76
6/15/2022 16:00:00,36.17
6/16/2022 16:00:00,32.85
6/17/2022 16:00:00,35.48
6/21/2022 16:00:00,37.45
6/22/2022 16:00:00,39.17
6/23/2022 16:00:00,44.47
6/24/2022 16:00:00,46.81
6/27/2022 16:00:00,44.36
6/28/2022 16:00:00,40.66
6/29/2022 16:00:00,39.52
6/30/2022 16:00:00,36.82
7/1/2022 16:00:00,37.54
7/5/2022 16:00:00,42.33
7/6/2022 16:00:00,41.29
